State name,Latitude,Longitude,District code,District name,Population,Households_with_Internet,sex_ratio,literacy_rate
ARUNACHAL PRADESH,27.680683962264148,91.82504245283016,245,Tawang,49977,96,714.42,52.17
ARUNACHAL PRADESH,27.46486582278483,92.65015750452083,246,West Kameng,83947,202,818.81,57.77
ARUNACHAL PRADESH,27.371194055944056,93.04741486013997,247,East Kameng,78690,57,1029.4,48.86
ARUNACHAL PRADESH,27.273529716981127,93.54468183962264,248,Papum Pare,176573,2477,979.92,68.55
ARUNACHAL PRADESH,28.277196566523585,93.8991435622318,249,Upper Subansiri,83448,139,998.37,54.26
ARUNACHAL PRADESH,28.106296920289843,94.53510344202908,250,West Siang,112274,303,930.17,57.67
ARUNACHAL PRADESH,28.15382352941176,95.06499226006191,251,East Siang,99214,450,979.69,63.07
ARUNACHAL PRADESH,28.8309244897959,95.00155765306124,252,Upper Siang,35320,97,888.87,51.51
ARUNACHAL PRADESH,27.36048479338845,96.37552644628106,253,Changlang,148226,170,926.31,49.37
ARUNACHAL PRADESH,26.94406229508198,95.41470327868862,254,Tirap,111975,98,943.88,42.84
ARUNACHAL PRADESH,27.70849297297297,93.96226108108112,255,Lower Subansiri,83030,381,984.32,65.11
ARUNACHAL PRADESH,28.04853351800553,93.24531994459834,256,Kurung Kumey,92076,95,1031.78,39.76
ARUNACHAL PRADESH,28.32651730103806,95.76567335640142,258,Lower Dibang Valley,54080,207,927.78,58.89
ARUNACHAL PRADESH,27.946785273972623,96.59670770547945,259,Lohit,145726,312,911.89,57.0
NAGALAND,26.69207374301676,95.03072988826828,261,Mon,250260,178,899.46,47.8
NAGALAND,26.478911764705888,94.522426006192,262,Mokokchung,194622,537,925.2,81.95
NAGALAND,26.028178205128206,94.50026666666668,263,Zunheboto,140757,261,976.45,73.09
NAGALAND,26.202611551155112,94.1990815181518,264,Wokha,166343,198,968.44,77.07
NAGALAND,25.814176811594223,93.75074057971014,265,Dimapur,378811,3303,919.06,73.4
NAGALAND,25.63272986577182,94.56814563758392,266,Phek,163418,170,951.42,64.8
NAGALAND,26.21104453280316,94.85809880715708,267,Tuensang,196596,155,928.68,59.77
NAGALAND,25.60311428571428,93.78600657596373,270,Kohima,267988,1928,928.44,73.69
